"currency","date","sumvolume","count","meanprice"
"ARS",2013-04-19,1.671,1,598.45
"ARS",2013-04-23,1.2604,1,793.39
"ARS",2013-04-24,1.5387,2,1156.365
"ARS",2013-04-25,1.3682,1,730.9
"ARS",2013-05-01,2,1,1035.99
"ARS",2013-05-02,1.6361,1,611.21
"ARS",2013-05-03,1.097,1,1087.52
"ARS",2013-05-10,4.2127,3,712.38
"ARS",2013-05-14,4,2,936.84
"ARS",2013-05-15,4,1,1000
"ARS",2013-05-16,1.2406,2,1080.175
"ARS",2013-05-17,0.9984,1,991.34
"ARS",2013-05-21,7.96,8,1015.32875
"ARS",2013-05-23,1.4989,2,1076.935
"ARS",2013-05-24,2.2754,3,1087.15333333333
"ARS",2013-05-28,0.99,1,1005.97
"ARS",2013-05-30,0.7619,2,1131.075
"ARS",2013-05-31,0.1596,1,1253.04
"ARS",2013-06-05,1.9997,2,922.56
"ARS",2013-06-06,1.9912,2,963.72
"ARS",2013-06-17,0.4,1,770.68
"ARS",2013-06-19,1,1,794.81
"ARS",2013-06-20,1.9085,1,838.34
"ARS",2013-06-24,1.1765,1,850
"ARS",2013-06-26,6.1,2,762.65
"ARS",2013-06-27,5,1,800
"ARS",2013-06-28,6.3131,4,693.245
"ARS",2013-07-01,4.2674,3,739.293333333333
"ARS",2013-07-02,5.84,1,710.28
"ARS",2013-07-03,14.3862,5,655.116
"ARS",2013-07-04,4.5424,4,645.4025
"ARS",2013-07-05,3.5792,2,586.595
"ARS",2013-07-06,1.2321,2,653.425
"ARS",2013-07-08,4.7133,2,650.49
"ARS",2013-07-11,2.959,3,689.04
"ARS",2013-07-12,0.9955,1,715.94
"ARS",2013-07-13,1.9796,1,783.5
"ARS",2013-07-17,5.7343,5,839.97
"ARS",2013-07-18,3.0057,3,780.26
"ARS",2013-07-19,4.5651,5,851.49
"ARS",2013-07-20,3.0093,3,820.88
"ARS",2013-07-21,0.6347,1,787.77
"ARS",2013-07-22,0.2608,1,839.64
